date,volume,high,low,change,changeRate,close,open,hold,timestamps,amount
2024-03-04,662996.0,3196.0,3144.0,9.0,0.29,3159.0,3150.0,223817.0,2024-03-04,0.0
2024-03-05,435496.0,3172.0,3123.0,-37.0,-1.17,3123.0,3160.0,212595.0,2024-03-05,0.0
2024-03-06,542515.0,3183.0,3124.0,32.0,1.02,3167.0,3135.0,229677.0,2024-03-06,0.0
2024-03-07,580059.0,3239.0,3185.0,43.0,1.35,3228.0,3185.0,269106.0,2024-03-07,0.0
2024-03-08,442204.0,3253.0,3215.0,31.0,0.96,3246.0,3215.0,274563.0,2024-03-08,0.0
2024-03-11,590170.0,3209.0,3156.0,-33.0,-1.03,3167.0,3200.0,234681.0,2024-03-11,0.0
2024-03-12,444473.0,3173.0,3135.0,-7.0,-0.22,3162.0,3169.0,230285.0,2024-03-12,0.0
2024-03-13,526956.0,3218.0,3151.0,54.0,1.71,3208.0,3154.0,234062.0,2024-03-13,0.0
2024-03-14,657247.0,3316.0,3261.0,22.0,0.67,3292.0,3270.0,265203.0,2024-03-14,0.0
2024-03-15,400142.0,3331.0,3302.0,9.0,0.27,3312.0,3303.0,261549.0,2024-03-15,0.0
2024-03-18,489247.0,3330.0,3279.0,18.0,0.55,3318.0,3300.0,248797.0,2024-03-18,0.0
2024-03-19,515691.0,3380.0,3327.0,40.0,1.2,3367.0,3327.0,253945.0,2024-03-19,0.0
2024-03-20,482232.0,3407.0,3361.0,23.0,0.68,3390.0,3367.0,263137.0,2024-03-20,0.0
2024-03-21,478334.0,3381.0,3339.0,5.0,0.15,3368.0,3363.0,236454.0,2024-03-21,0.0
2024-03-22,414060.0,3363.0,3325.0,6.0,0.18,3356.0,3350.0,221215.0,2024-03-22,0.0
2024-03-25,479146.0,3400.0,3369.0,8.0,0.24,3384.0,3376.0,225727.0,2024-03-25,0.0
2024-03-26,649351.0,3468.0,3391.0,38.0,1.12,3429.0,3391.0,240387.0,2024-03-26,0.0
2024-03-27,477426.0,3441.0,3373.0,-54.0,-1.57,3380.0,3434.0,213348.0,2024-03-27,0.0
